Id,City,Address,Status,Start,End,ProductsSelected,TotalPrice,TotalPriceCurrencyCode
33308,Киев,ул. Евгения Коновальца 26а,Timeout,2019-03-30 08:29,2019-03-30 08:32,N,0.00,UAH
33309,Одесса,"Новониколаевская дорога 1, Суворовский, Таврия В",Timeout,2019-03-30 08:34,2019-03-30 08:35,N,0.00,UAH
33310,Киев,ул. Ярославская 55,Timeout,2019-03-30 08:34,2019-03-30 08:35,N,0.00,UAH
33311,Киев,ул. Чернобыльская 16/80,Timeout,2019-03-30 08:35,2019-03-30 08:39,N,0.00,UAH
33312,Киев,ул. Глушкова 13б,NewUser,2019-03-30 08:45,2019-03-30 08:46,N,0.00,UAH
33313,Киев,"ул. Берковецкая 6, Ашан",NewUser,2019-03-30 08:49,2019-03-30 08:51,N,0.00,UAH
33314,Киев,ул. Бандеры 15а,Timeout,2019-03-30 08:50,2019-03-30 08:51,N,0.00,UAH
33315,Киев,ул. Евгения Коновальца 26а,Timeout,2019-03-30 08:51,2019-03-30 08:53,N,0.00,UAH
33316,Киев,ул. Радужная 8,Timeout,2019-03-30 08:56,2019-03-30 08:57,N,0.00,UAH
33317,Киев,ул. Леся Курбаса 6,Timeout,2019-03-30 08:55,2019-03-30 08:57,N,0.00,UAH
33318,Хуст,ул. Львовская 208,Timeout,2019-03-30 08:58,2019-03-30 08:59,N,0.00,UAH
33319,Киев,ул. Гната Хоткевича 1,NewUser,2019-03-30 08:56,2019-03-30 08:59,N,0.00,UAH
33320,Одесса,пр. Глушко 26,NewUser,2019-03-30 09:06,2019-03-30 09:07,N,0.00,UAH
33321,Вышгород,ул. Набережная 11,Timeout,2019-03-30 09:06,2019-03-30 09:09,N,0.00,UAH
33322,Свалява,ул. Борканюка 42,NewUser,2019-03-30 09:10,2019-03-30 09:10,N,0.00,UAH
33323,Киев,ул. Чернобыльская 16/80,NewUser,2019-03-30 09:11,2019-03-30 09:11,N,0.00,UAH
33324,Киев,ул. Чернобыльская 16/80,NewUser,2019-03-30 09:11,2019-03-30 09:13,N,0.00,UAH
33325,Вышгород,ул. Набережная 11,Timeout,2019-03-30 09:13,2019-03-30 09:14,N,0.00,UAH
33326,Киев,ул. Бережанская 22,Timeout,2019-03-30 09:13,2019-03-30 09:15,N,0.00,UAH
33327,Киев,ул. Здолбуновская 17,Timeout,2019-03-30 09:14,2019-03-30 09:15,Y,653.00,UAH
33328,Киев,ул. Жилянская 107,Timeout,2019-03-30 09:14,2019-03-30 09:16,N,0.00,UAH
33329,Вышгород,ул. Набережная 11,Timeout,2019-03-30 09:15,2019-03-30 09:17,N,0.00,UAH
33330,Мукачево,ул. Матросова 19,Timeout,2019-03-30 09:15,2019-03-30 09:18,N,0.00,UAH
33331,Киев,пр. Победы 94,Timeout,2019-03-30 09:16,2019-03-30 09:23,N,0.00,UAH
33332,Киев,"ул. Берковецкая 6, Ашан",Timeout,2019-03-30 09:22,2019-03-30 09:24,N,0.00,UAH
33333,Киев,пр. Правды 66,Timeout,2019-03-30 09:24,2019-03-30 09:26,N,0.00,UAH
33334,Киев,ул. Бережанская 22,Timeout,2019-03-30 09:24,2019-03-30 09:26,N,0.00,UAH
33335,Берегово,ул. Мукачевская 190/2,Timeout,2019-03-30 09:29,2019-03-30 09:30,N,0.00,UAH
33336,Киев,ул. Жилянская 107,NewUser,2019-03-30 09:30,2019-03-30 09:31,N,0.00,UAH
33337,Киев,"ул. Вербицкого 30, Фуршет",Timeout,2019-03-30 09:29,2019-03-30 09:31,N,0.00,UAH
33338,Киев,пр. Победы 94,Timeout,2019-03-30 09:29,2019-03-30 09:32,N,0.00,UAH
33339,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",Timeout,2019-03-30 09:31,2019-03-30 09:33,N,0.00,UAH
33340,Мукачево,ул. Матросова 19,Timeout,2019-03-30 09:31,2019-03-30 09:33,N,0.00,UAH
33341,Киев,пр. Броварской 17,Timeout,2019-03-30 09:32,2019-03-30 09:34,N,0.00,UAH
33342,Киев,ул. Чернобыльская 16/80,Timeout,2019-03-30 09:33,2019-03-30 09:34,N,0.00,UAH
33343,Киев,пр. Победы 94,Timeout,2019-03-30 09:33,2019-03-30 09:36,N,0.00,UAH
33344,Ужгород,ул. Гагарина 38,Timeout,2019-03-30 09:37,2019-03-30 09:38,N,0.00,UAH
33345,Киев,ул. Академика Филатова 7,Timeout,2019-03-30 09:38,2019-03-30 09:39,N,0.00,UAH
33346,Черноморск,пр. Мира 35,NewUser,2019-03-30 09:36,2019-03-30 09:39,N,0.00,UAH
33347,Киев,ул. Героев Сталинграда 8,NewUser,2019-03-30 09:41,2019-03-30 09:42,N,0.00,UAH
